State/UT,Year,Mode,Total
A & N Islands,2001,Bicycle,0
A & N Islands,2001,Bus,2
A & N Islands,2001,Car,1
A & N Islands,2001,Jeep,0
A & N Islands,2001,Other Motor Vehicles,2
A & N Islands,2001,Others,2
A & N Islands,2001,Pedestrian,0
A & N Islands,2001,Three Wheeler,1
A & N Islands,2001,Truck/Lorry,5
A & N Islands,2001,Two Wheeler,4
A & N Islands,2002,Bicycle,0
A & N Islands,2002,Bus,6
A & N Islands,2002,Car,2
A & N Islands,2002,Jeep,3
A & N Islands,2002,Other Motor Vehicles,1
A & N Islands,2002,Others,1
A & N Islands,2002,Pedestrian,0
A & N Islands,2002,Three Wheeler,0
A & N Islands,2002,Truck/Lorry,4
A & N Islands,2002,Two Wheeler,4
A & N Islands,2003,Bicycle,0
A & N Islands,2003,Bus,3
A & N Islands,2003,Car,0
A & N Islands,2003,Jeep,1
A & N Islands,2003,Other Motor Vehicles,0
A & N Islands,2003,Others,0
A & N Islands,2003,Pedestrian,0
A & N Islands,2003,Three Wheeler,0
A & N Islands,2003,Truck/Lorry,2
A & N Islands,2003,Two Wheeler,6
A & N Islands,2004,Bicycle,0
A & N Islands,2004,Bus,1
A & N Islands,2004,Car,0
A & N Islands,2004,Jeep,1
A & N Islands,2004,Other Motor Vehicles,0
A & N Islands,2004,Others,0
A & N Islands,2004,Pedestrian,6
A & N Islands,2004,Three Wheeler,2
A & N Islands,2004,Truck/Lorry,1
A & N Islands,2004,Two Wheeler,4
A & N Islands,2005,Bicycle,0
A & N Islands,2005,Bus,13
A & N Islands,2005,Car,2
A & N Islands,2005,Jeep,0
A & N Islands,2005,Other Motor Vehicles,0
A & N Islands,2005,Others,0
A & N Islands,2005,Pedestrian,0
A & N Islands,2005,Three Wheeler,1
A & N Islands,2005,Truck/Lorry,3
A & N Islands,2005,Two Wheeler,4
A & N Islands,2006,Bicycle,0
A & N Islands,2006,Bus,6
A & N Islands,2006,Car,0
A & N Islands,2006,Jeep,1
A & N Islands,2006,Other Motor Vehicles,0
A & N Islands,2006,Others,0
A & N Islands,2006,Pedestrian,0
A & N Islands,2006,Three Wheeler,2
A & N Islands,2006,Truck/Lorry,13
A & N Islands,2006,Two Wheeler,0
A & N Islands,2007,Bicycle,0
A & N Islands,2007,Bus,0
A & N Islands,2007,Car,1
A & N Islands,2007,Jeep,1
A & N Islands,2007,Other Motor Vehicles,0
A & N Islands,2007,Others,0
A & N Islands,2007,Pedestrian,9
A & N Islands,2007,Three Wheeler,2
A & N Islands,2007,Truck/Lorry,3
A & N Islands,2007,Two Wheeler,7
A & N Islands,2008,Bicycle,0
A & N Islands,2008,Bus,1
A & N Islands,2008,Car,1
A & N Islands,2008,Jeep,3
A & N Islands,2008,Other Motor Vehicles,2
A & N Islands,2008,Others,1
A & N Islands,2008,Pedestrian,3
A & N Islands,2008,Three Wheeler,0
A & N Islands,2008,Truck/Lorry,6
A & N Islands,2008,Two Wheeler,5
A & N Islands,2009,Bicycle,0
A & N Islands,2009,Bus,7
A & N Islands,2009,Car,7
A & N Islands,2009,Jeep,2
A & N Islands,2009,Other Motor Vehicles,0
A & N Islands,2009,Others,1
A & N Islands,2009,Pedestrian,0
A & N Islands,2009,Three Wheeler,3
A & N Islands,2009,Truck/Lorry,4
